singleton_identity_scope_review_id,current_development_id,current_development_site_id,site_key,site_street,site_city,site_state,site_zip,site_action,adjudicated_development_id,site_decision_reason,site_source_title,site_source_type,site_source_url,site_source_statement,geocoding_query_approval,reviewed_on
SISR_CT_ECC_RAD_IV,DEV_CTA0000X024,DEV_CTA0000X024_SITE_0001,CT|480 FERRY ST|NEW HAVEN,480 FERRY STREET,NEW HAVEN,CT,06513,keep_nonphysical_bridge_site,DEV_CTA0000X024,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group IV as a portfolio of Fairmont Heights and Matthew Ruoppolo Manor, confirming a financing grouping across two physical properties.",not_approved,2026-08-11
SISR_CT_ECC_RAD_IV,DEV_CTA0000X024,DEV_CTA0000X024_SITE_0002,CT|70 FAIRMOUNT ST|NEW HAVEN,70 FAIRMOUNT STREET,NEW HAVEN,CT,6511,keep_nonphysical_bridge_site,DEV_CTA0000X024,retain_source_site_only_as_an_episode_to_property_bridge_candidate,Elm City Communities FY2024 MTW Report,official_local_housing_authority,https://elmcitycommunities.org/wp-content/uploads/2024/11/MTW-FY2024-Report-PC-version-1124.pdf,"Elm City Communities reports ECC RAD Group IV as a portfolio of Fairmont Heights and Matthew Ruoppolo Manor, confirming a financing grouping across two physical properties.",not_approved,2026-08-11
SISR_CT_HARTFORD_PRESERVATION,DEV_CTA0000X026,DEV_CTA0000X026_SITE_0001,CT|387 BARBOUR ST BLDG 1|HARTFORD,387 BARBOUR STREET BUILDING 1,HARTFORD,CT,6120,keep_nonphysical_bridge_site,DEV_CTA0000X026,retain_source_site_only_as_an_episode_to_property_bridge_candidate,CHFA 2021 Annual Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2021_Annual_Report.pdf,CHFA describes Hartford Preservation as five separate properties totaling 206 apartments; the current two rows are not a complete property inventory.,not_approved,2026-08-11
SISR_CT_HARTFORD_PRESERVATION,DEV_CTA0000X026,DEV_CTA0000X026_SITE_0002,CT|ENFIELD MAGNOLIA 162 MAGNOLIA ST|HARTFORD,ENFIELD MAGNOLIA 162 MAGNOLIA STREET,HARTFORD,CT,06112,keep_nonphysical_bridge_site,DEV_CTA0000X026,retain_source_site_only_as_an_episode_to_property_bridge_candidate,CHFA 2021 Annual Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2021_Annual_Report.pdf,CHFA describes Hartford Preservation as five separate properties totaling 206 apartments; the current two rows are not a complete property inventory.,not_approved,2026-08-11
SISR_CT_MCCONAUGHY,DEV_CTA0000X032,DEV_CTA0000X032_SITE_0001,CT|110 120 SO GENESEE ST|NEW HAVEN,110 120 SO GENESEE ST,NEW HAVEN,CT,06515,retain_unresolved_source_site_for_review,DEV_CTA0000X032,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2023 CGS 8-260 Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2023_C.G.S_8-260_Report.pdf,"CHFA identifies the 9% and 4% records as financing slices of one McConaughy Terrace redevelopment, but this source does not verify the individual HUD address or compound address string.",not_approved,2026-08-11
SISR_CT_MCCONAUGHY,DEV_CTA0000X032,DEV_CTA0000X032_SITE_0002,CT|410 VALLEY ST|NEW HAVEN,410 VALLEY ST,NEW HAVEN,CT,6515,retain_unresolved_source_site_for_review,DEV_CTA0000X032,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2023 CGS 8-260 Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2023_C.G.S_8-260_Report.pdf,"CHFA identifies the 9% and 4% records as financing slices of one McConaughy Terrace redevelopment, but this source does not verify the individual HUD address or compound address string.",not_approved,2026-08-11
SISR_CT_MCCONAUGHY,DEV_CTA0000X033,DEV_CTA0000X033_SITE_0001,CT|126 128 E RAMSDELL ST 434 436 VALLEY ST|NEW HAVEN,126 128 EAST RAMSDELL STREET 434 436 VALLEY ST,NEW HAVEN,CT,06515,retain_unresolved_source_site_for_review,DEV_CTA0000X032,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2023 CGS 8-260 Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2023_C.G.S_8-260_Report.pdf,"CHFA identifies the 9% and 4% records as financing slices of one McConaughy Terrace redevelopment, but this source does not verify the individual HUD address or compound address string.",not_approved,2026-08-11
SISR_CT_MCCONAUGHY,DEV_CTA0000X033,DEV_CTA0000X033_SITE_0002,CT|73 83 E RAMSDELL ST|NEW HAVEN,73-83 EAST RAMSDELL STREET,NEW HAVEN,CT,6515,retain_unresolved_source_site_for_review,DEV_CTA0000X032,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2023 CGS 8-260 Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2023_C.G.S_8-260_Report.pdf,"CHFA identifies the 9% and 4% records as financing slices of one McConaughy Terrace redevelopment, but this source does not verify the individual HUD address or compound address string.",not_approved,2026-08-11
SISR_CT_MERIDEN_I,DEV_CTA0000X034,DEV_CTA0000X034_SITE_0001,CT|161 STATE ST|MERIDEN,161 STATE STREET,MERIDEN,CT,06450,keep_verified_physical_site,DEV_CTA0000X034,public_source_supports_site_as_a_component_of_the_reviewed_physical_property,City of Meriden 2024 Audit Reports,official_local_government,https://www.meridenct.gov/Customer-Content/www/CMS/files/Finance_Department_-_2024_Meriden_Audit_Reports.pdf,City records distinguish Meriden Commons I at 161 State Street from phase II at 177 State Street.,not_approved,2026-08-11
SISR_CT_MERIDEN_II,DEV_CTA0000X035,DEV_CTA0000X035_SITE_0001,CT|177 STATE ST|MERIDEN,177 STATE ST,MERIDEN,CT,06450,keep_verified_physical_site,DEV_CTA0000X035,public_source_supports_site_as_a_component_of_the_reviewed_physical_property,City of Meriden 2024 Audit Reports,official_local_government,https://www.meridenct.gov/Customer-Content/www/CMS/files/Finance_Department_-_2024_Meriden_Audit_Reports.pdf,City records distinguish Meriden Commons II at 177 State Street from phase I at 161 State Street.,not_approved,2026-08-11
SISR_CT_SPRUCE_MEADOWS_I,DEV_CTA0000X041,DEV_CTA0000X041_SITE_0001,CT|100 S BROAD ST|PAWCATUCK,100 SOUTH BROAD STREET,PAWCATUCK,CT,06379-3948,retain_unresolved_source_site_for_review,DEV_CTA0000X041,outside_source_confirms_development_or_phase_but_not_individual_site_address,"CHFA Board Minutes, November 29 2018",official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/November_29%2C_2018_Board_Minutes_Final.pdf,"CHFA distinguishes the Spruce Meadows and Spruce Ridge phases, but this source does not verify 100 South Broad Street.",not_approved,2026-08-11
SISR_CT_WINDWARD,DEV_CTA0000X046,DEV_CTA0000X046_SITE_0001,CT|20 JOHNSON ST|BRIDGEPORT,20 JOHNSON STREET,BRIDGEPORT,CT,6604,retain_unresolved_source_site_for_review,DEV_CTA0000X046,identity_decision_does_not_validate_this_source_site_for_geocoding,Connecticut CEQ Revised Windward Apartments Scoping Notice,official_state_government,https://portal.ct.gov/ceq/doh/scoping-notices/revised-windward-apartments,The state scoping notice identifies Windward Apartments at 20 Johnson Street as a distinct phased redevelopment.,not_approved,2026-08-11
SISR_CT_WINDWARD,DEV_CTA0000X046,DEV_CTA0000X046_SITE_0002,CT|WINDWARD DEVELOPMENT ASSOCIATES LLC 1 20 JOHNSON ST|BRIDGEPORT,WINDWARD DEVELOPMENT ASSOCIATES LLC 1 20 JOHNSON STREET,BRIDGEPORT,CT,06604,retain_unresolved_source_site_for_review,DEV_CTA0000X046,identity_decision_does_not_validate_this_source_site_for_geocoding,Connecticut CEQ Revised Windward Apartments Scoping Notice,official_state_government,https://portal.ct.gov/ceq/doh/scoping-notices/revised-windward-apartments,The state scoping notice identifies Windward Apartments at 20 Johnson Street as a distinct phased redevelopment.,not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA0000X048,DEV_CTA0000X048_SITE_0001,CT|134 PARK RIVER DR|HARTFORD,134 PARK RIVER DRIVE,HARTFORD,CT,06112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA0000X048,DEV_CTA0000X048_SITE_0002,CT|295 PLAINFIELD ST|HARTFORD,295 PLAINFIELD STREET,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_WILLOW_CREEK,DEV_CTA0000X051,DEV_CTA0000X051_SITE_0001,CT|10 NAHUM DR|HARTFORD,10 NAHUM DR,HARTFORD,CT,06112,retain_unresolved_source_site_for_review,DEV_CTA0000X051,identity_decision_does_not_validate_this_source_site_for_geocoding,Connecticut CEQ Scoping Notice: Willow Creek Apartments,official_state_government,https://portal.ct.gov/CEQ/DECD/Scoping-Notice/Willow-Creek-Apartments-Hartford,The state scoping notice identifies Willow Creek as one redevelopment implemented in phases; CHFA records identify the three financing phases.,not_approved,2026-08-11
SISR_CT_WILLOW_CREEK,DEV_CTA0000X051,DEV_CTA0000X051_SITE_0002,CT|427 GRANBY ST|HARTFORD,427 GRANBY STREET,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X051,identity_decision_does_not_validate_this_source_site_for_geocoding,Connecticut CEQ Scoping Notice: Willow Creek Apartments,official_state_government,https://portal.ct.gov/CEQ/DECD/Scoping-Notice/Willow-Creek-Apartments-Hartford,The state scoping notice identifies Willow Creek as one redevelopment implemented in phases; CHFA records identify the three financing phases.,not_approved,2026-08-11
SISR_CT_WILLOW_CREEK,DEV_CTA0000X052,DEV_CTA0000X052_SITE_0001,CT|1 BERKELEY DR|HARTFORD,1 BERKELEY DR,HARTFORD,CT,06112,retain_unresolved_source_site_for_review,DEV_CTA0000X051,identity_decision_does_not_validate_this_source_site_for_geocoding,Connecticut CEQ Scoping Notice: Willow Creek Apartments,official_state_government,https://portal.ct.gov/CEQ/DECD/Scoping-Notice/Willow-Creek-Apartments-Hartford,The state scoping notice identifies Willow Creek as one redevelopment implemented in phases; CHFA records identify the three financing phases.,not_approved,2026-08-11
SISR_CT_WILLOW_CREEK,DEV_CTA0000X052,DEV_CTA0000X052_SITE_0002,CT|15 BERKELEY DR|HARTFORD,15 BERKELEY DRIVE,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X051,identity_decision_does_not_validate_this_source_site_for_geocoding,Connecticut CEQ Scoping Notice: Willow Creek Apartments,official_state_government,https://portal.ct.gov/CEQ/DECD/Scoping-Notice/Willow-Creek-Apartments-Hartford,The state scoping notice identifies Willow Creek as one redevelopment implemented in phases; CHFA records identify the three financing phases.,not_approved,2026-08-11
SISR_CT_CRESCENT_1A,DEV_CTA20161002,DEV_CTA20161002_SITE_0001,CT|252 HALLETT ST|BRIDGEPORT,252 HALLETT STREET,BRIDGEPORT,CT,06608,retain_unresolved_source_site_for_review,DEV_CTA20161002,outside_source_confirms_development_or_phase_but_not_individual_site_address,CHFA 2015 Summary Report,official_state_housing_finance_agency,https://www.chfa.org/assets/1/6/2015_Summary_Report.pdf,"CHFA distinguishes phases 1A and 1B, but this source does not verify the individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0001,CT|110 PARK RIVER DR|HARTFORD,110 PARK RIVER DR,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0002,CT|13 CARRIE PERRY WAY|HARTFORD,13 CARRIE PERRY WAY,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0003,CT|26 STILLMAN WESTBROOK CT|HARTFORD,26 STILLMAN WESTBROOK COURT,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0004,CT|32 STILLMAN WESTBROOK CT|HARTFORD,32 STILLMAN WESTBROOK COURT,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0005,CT|33 STILLMAN WESTBROOK CT|HARTFORD,33 STILLMAN WESTBROOK COURT,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0006,CT|98 PARK RIVER DR|HARTFORD,98 PARK RIVER DR,HARTFORD,CT,6112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
SISR_CT_PARK_RIVER,DEV_CTA20211008,DEV_CTA20211008_SITE_0007,CT|MULTIPLE ADDRESSES NEAR 144 MARK TWAIN DR|HARTFORD,MULTIPLE ADDRESSES NEAR 144 MARK TWAIN DRIVE,HARTFORD,CT,06112,retain_unresolved_source_site_for_review,DEV_CTA0000X048,outside_source_confirms_master_development_but_not_individual_site_address,Connecticut DDS Village at Park River open house,official_state_government,https://portal.ct.gov/dds/searchable-archive/media/latestnews2023/dds-deputy-commissioner-elisa-velardo-attends-open-house-at-supportive-housing-development,"Connecticut DDS identifies one six-phase Village at Park River / Westbrook Village redevelopment, but it does not verify this individual HUD address.",not_approved,2026-08-11
