review_index,development_id,review_category,development_name,development_city,development_state,n_project_episodes,first_pis_year,last_pis_year,development_linkage_basis,episode_unit_totals,episode_low_income_unit_totals,state_ids,primary_addresses,pass1_decision,pass1_reason_code,pass1_notes,pass1_reviewed_on,pass2_decision,pass2_reason_code,pass2_search_engine,pass2_search_url,pass2_source_1_title,pass2_source_1_type,pass2_source_1_url,pass2_source_2_title,pass2_source_2_type,pass2_source_2_url,pass2_notes,pass2_reviewed_on,final_decision,final_reason_code,final_notes,final_reviewed_on
38,DEV_NCA19910375,candidate_one_unit_fragments,RESIDENCE,GREENSBORO,NC,5,1991,1992,normalized_name_identical_multisite_set,1,1,9001459|9001480|9001481|9001549|919,202 AUNT MARY AVE|2905 LIBERTY ROAD|2907 LIBERTY ROAD|3938 EASTLAND AVE|4707 FOREST VILLAGE DR,accept,same_named_scattered_site_development,"Internal HUD read: NCA19910375 (PIS 1991, state ID 9001549, units 1); NCA19920425 (PIS 1992, state ID 9001459, units 1); NCA19920430 (PIS 1992, state ID 9001480, units 1); NCA19920435 (PIS 1992, state ID 919, units 1); NCA19920635 (PIS 1992, state ID 9001481, units 1). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 5.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22RESIDENCE%22%20%22GREENSBORO%22%20%22202%20AUNT%20MARY%20AVE%22%20affordable%20housing,"Residence - Affordable Housing in Greensboro, NC Affordable Housing Heroes https://affordablehousingheroes.com › north-carolina › r...",housing_directory_or_other_web_source,https://affordablehousingheroes.com/listings/north-carolina/greensboro/residence/hrkde6isqaijcpusleneaezg,"Residence | Affordable Housing in Greensboro, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Greensboro",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/guilford/greensboro/residence-20240-lihtc,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
39,DEV_NCA19920475,candidate_one_unit_fragments,STEVENS APTS II,GREENSBORO,NC,2,1992,1992,normalized_name_identical_multisite_set,1,1,796|9001482,504 FRANKLIN BLVD|504 FRANKLIN RD,accept,same_named_scattered_site_development,"Internal HUD read: NCA19920475 (PIS 1992, state ID 796, units 1); NCA19929095 (PIS 1992, state ID 9001482, units 1). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22STEVENS%20APTS%20II%22%20%22GREENSBORO%22%20%22504%20FRANKLIN%20BLVD%22%20affordable%20housing,"Stevens Apts Ii | Affordable Housing in Greensboro, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Greensboro",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/guilford/greensboro/stevens-apts-ii-20271-lihtc,Stevens Apts Ii - UsLowCostHousing - Find Section 8 Housing Near ... UsLowCostHousing https://s8.uslowcosthousing.com › ... › Greensboro,housing_directory_or_other_web_source,https://s8.uslowcosthousing.com/state/nc/greensboro/stevens-apts-ii-32527/,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
40,DEV_NCA19950580,candidate_one_unit_fragments,SWAIN STREET HOME,HENDERSON,NC,2,1995,1995,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,1,1,1201|9001873,240 SWAIN ST|240 SWAIN STREET,accept,same_named_scattered_site_development,"Internal HUD read: NCA19950580 (PIS 1995, state ID 1201, units 1); NCA19959115 (PIS 1995, state ID 9001873, units 1). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22SWAIN%20STREET%20HOME%22%20%22HENDERSON%22%20%22240%20SWAIN%20ST%22%20affordable%20housing,"Swain Street Home | Affordable Housing in Henderson, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Henderson",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/vance/henderson/swain-street-home-20129-lihtc,"Swain Street Home - Affordable Housing in Henderson, NC | Section ... section8search.org https://section8search.org › ... › HENDERSON",housing_directory_or_other_web_source,https://section8search.org/north-carolina/henderson/swain-street-home/beksazyt5qct6aikmzb3h53g,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
41,DEV_NCA19920545,candidate_one_unit_fragments,WOODFIELD SUBDIVISION,WILSON,NC,30,1992,1995,normalized_name_identical_multisite_set,1,1,641|644|645|646|647|649|799|800|805|806|807|9000734|9000735|9000736|9000738|9000739|9000740|9000744|9000745|9000747|9000755|9001462|9001510|9001511|9001512|9001514|9001515|9001516|9001518|9002157,1802 PETALCREST CIR|1802 PETALCREST CIR SE|1803 PETALCREST CIR|1803 PETALCREST CIR SE|1804 PETALCREST CIRCLE|1805 PETALCREST CIR|1805 PETALCREST CIR SE|1806 PETALCREST CIR|1807 PETALCREST CIR|1807 PETALCREST CIR SE|1808 EAST TRAIL DRIVE|1809 E TRAIL DR SE|1809 EAST TRAIL DRIVE|1809 PETALCREST CIR|1810 EAST TRAIL DRIVE|1811 EAST TRAIL DRIVE|1812 E TRAIL DR SE|1812 EAST TRAIL DRIVE|1813 E TRAIL DR SE|1813 EAST TRAIL DRIVE|1814 E TRAIL DR SE|1814 EAST TRAIL DRIVE|1815 E TRAIL DR SE|1815 EAST TRAIL DR|1816 E TRAIL DR SE|1816 EAST TRAIL DRIVE|1818 E TRAIL DR SE|1818 EAST TRAIL DRIVE|1822 EAST TRAIL DR|1838 E TRAIL DR SE,accept,same_named_scattered_site_development,"Internal HUD read: NCA19920545 (PIS 1992, state ID 9000745, units 1); NCA19920550 (PIS 1992, state ID 649, units 1); NCA19920555 (PIS 1992, state ID 9000744, units 1); NCA19920560 (PIS 1992, state ID 9001511, units 1); NCA19920565 (PIS 1992, state ID 644, units 1); NCA19920570 (PIS 1992, state ID 647, units 1); NCA19920575 (PIS 1992, state ID 641, units 1); NCA19920580 (PIS 1992, state ID 645, units 1); NCA19920585 (PIS 1992, state ID 646, units 1); NCA19929114 (PIS 1992, state ID 9001510, units 1); NCA19929116 (PIS 1992, state ID 9001512, units 1); NCA19929117 (PIS 1992, state ID 9001514, units 1); NCA19929118 (PIS 1992, state ID 9001515, units 1); NCA19929119 (PIS 1992, state ID 9001516, units 1); NCA19929120 (PIS 1992, state ID 9001518, units 1); NCA19920595 (PIS 1992, state ID 807, units 1); NCA19920600 (PIS 1992, state ID 9002157, units 1); NCA19920605 (PIS 1992, state ID 806, units 1); NCA19920610 (PIS 1992, state ID 9000747, units 1); NCA19920615 (PIS 1992, state ID 805, units 1); NCA19920620 (PIS 1992, state ID 9000735, units 1); NCA19920625 (PIS 1992, state ID 800, units 1); NCA19920630 (PIS 1992, state ID 799, units 1); NCA19929108 (PIS 1992, state ID 9000739, units 1); NCA19929109 (PIS 1992, state ID 9000740, units 1); NCA19929113 (PIS 1992, state ID 9001462, units 1); NCA19929121 (PIS 1992, state ID 9000738, units 1); NCA19929122 (PIS 1992, state ID 9000736, units 1); NCA19929124 (PIS 1992, state ID 9000734, units 1); NCA19950015 (PIS 1995, state ID 9000755, units 1). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 30.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22WOODFIELD%20SUBDIVISION%22%20%22WILSON%22%20%221802%20PETALCREST%20CIR%22%20affordable%20housing,"Woodfield Subdivision | Affordable Housing in Wilson, NC Affordable Housing Hub https://affordablehousinghub.org › ... › Wilson",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/north-carolina/wilson/wilson/woodfield-subdivision-21087-lihtc,"Woodfield Subdivision - Affordable Housing in Wilson, NC | Section ... section8search.org https://section8search.org › North Carolina › WILSON",housing_directory_or_other_web_source,https://section8search.org/north-carolina/wilson/woodfield-subdivision/zucop5e1lw4g693tphxts9bo,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_named_scattered_site_development,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
42,DEV_TXA19870370,candidate_one_unit_fragments,VICTORIA HOUSING,MISSION,TX,9,1987,1987,normalized_name_standardized_primary_address,1,1,TX6286|TX6287|TX6288|TX6289|TX6291|TX6292|TX6293|TX6294|TX6295,2817 YANEZ AVE,accept,duplicate_hud_records,"Internal HUD read: TXA19870370 (PIS 1987, state ID TX6286, units 1); TXA19870375 (PIS 1987, state ID TX6295, units 1); TXA19870380 (PIS 1987, state ID TX6294, units 1); TXA19870385 (PIS 1987, state ID TX6292, units 1); TXA19870390 (PIS 1987, state ID TX6293, units 1); TXA19870395 (PIS 1987, state ID TX6291, units 1); TXA19870400 (PIS 1987, state ID TX6287, units 1); TXA19870405 (PIS 1987, state ID TX6288, units 1); TXA19870410 (PIS 1987, state ID TX6289, units 1). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 1.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22VICTORIA%20HOUSING%22%20%22MISSION%22%20%222817%20YANEZ%20AVE%22%20affordable%20housing,"Victoria Housing - Affordable Housing in Mission, TX Affordable Housing Heroes https://affordablehousingheroes.com › listings › texas › v...",housing_directory_or_other_web_source,https://affordablehousingheroes.com/listings/texas/mission/victoria-housing/byb8lv2ukyzut9yttxaopmr1/,"Victoria Housing | Affordable Housing in Mission, TX Affordable Housing Hub https://affordablehousinghub.org › ... › Mission",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/texas/hidalgo-county/mission/victoria-housing-42545-lihtc,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,duplicate_hud_records,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
43,DEV_ALA19870025,repeated_total_long_gap,EUFAULA ESTATES,EUFAULA,AL,2,1987,2015,normalized_name_standardized_primary_address,53,53,2013055-TC|AL-87-0018,2115 S RANDOLPH AVE|2115 SOUTH RANDOLPH AVE,accept,same_property_recapitalization,"Internal HUD read: ALA19870025 (PIS 1987, state ID AL-87-0018, units 53); ALA20150004 (PIS 2015, state ID 2013055-TC, units 53). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22EUFAULA%20ESTATES%22%20%22EUFAULA%22%20%222115%20S%20RANDOLPH%20AVE%22%20affordable%20housing,"Eufaula Estates - 2115 S Randolph Ave Eufaula, AL 36027 Apartments.com https://www.apartments.com › ... › Eufaula",property_listing_or_public_records,https://www.apartments.com/eufaula-estates-eufaula-al/03q3r23/,Eufaula Estates - Alabama Affordable Housing Online https://affordablehousingonline.com › ... › Eufaula,housing_press,https://affordablehousingonline.com/housing-search/Alabama/Eufaula/Eufaula-Estates/10022742,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
44,DEV_COA19990005,repeated_total_long_gap,ASPEN COUNTRY INN,ASPEN,CO,2,1999,2017,normalized_name_standardized_primary_address,40,39|40,CO-17-04|CO-97-0032,38996 HWY 82|38996 HWY. 82,accept,same_property_recapitalization,"Internal HUD read: COA19990005 (PIS 1999, state ID CO-97-0032, units 40); COA20170004 (PIS 2017, state ID CO-17-04, units 40). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Google,https://www.google.com/search?q=%22ASPEN%20COUNTRY%20INN%22%20%22ASPEN%22%20%2238996%20HWY%2082%22%20affordable%20housing,"Aspen Country Inn - 38996 Highway 82 Aspen, CO 81611 Apartments.com https://www.apartments.com › ... › Pitkin County › Aspen",property_listing_or_public_records,https://www.apartments.com/aspen-country-inn-aspen-co/qpv016y/,"Aspen Country Inn | Affordable Housing in Aspen, CO Affordable Housing Hub https://affordablehousinghub.org › ... › Aspen",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/colorado/pitkin-county/aspen/aspen-country-inn-885-lihtc,Outside read via Google: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
45,DEV_COA20060050,repeated_total_long_gap,BELMAR GROVES,LAKEWOOD,CO,2,2006,2024,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,118,117|118,2004503|CO-24-04,259 S TELLER ST|259 SOUTH TELLER STREET,accept,same_property_recapitalization,"Internal HUD read: COA20060050 (PIS 2006, state ID 2004503, units 118); COA20240047 (PIS 2024, state ID CO-24-04, units 118). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22BELMAR%20GROVES%22%20%22LAKEWOOD%22%20%22259%20S%20TELLER%20ST%22%20affordable%20housing,"Belmar Groves - 259 S Teller St Lakewood, CO 80226",property_listing_or_public_records,https://www.apartments.com/belmar-groves-lakewood-co/650bz5t/?msockid=06356663fae369d7107b71f1fbb8685c,Belmar Groves – Metro West Housing Solutions,housing_directory_or_other_web_source,https://mwhs.org/belmar-groves/,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
46,DEV_FLA20040180,repeated_total_long_gap,BRENTON AT ABBEY PARK,WEST PALM BEACH,FL,2,2004,2020,normalized_name_standardized_primary_address,160,160,1137|FL-02-1137,1921 ABBEY RD|1921 ABBEY ROAD,accept,same_property_recapitalization,"Internal HUD read: FLA20040180 (PIS 2004, state ID 1137, units 160); FLA20204005 (PIS 2020, state ID FL-02-1137, units 160). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22BRENTON%20AT%20ABBEY%20PARK%22%20%22WEST%20PALM%20BEACH%22%20%221921%20ABBEY%20RD%22%20affordable%20housing,Brenton At Abbey Park Apartments 1921 Abbey Rd in West Palm …,housing_directory_or_other_web_source,https://www.affordablehousing.com/west-palm-beach-fl/brenton-at-abbey-park-apartments-1020248/,Brenton at Abbey Park Apartments | West Palm Beach …,property_listing_or_public_records,https://www.brentonatabbeyparkapartments.com/,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
47,DEV_FLA19950811,repeated_total_long_gap,VALENCIA PARK,ORLANDO,FL,2,1995,2021,normalized_name_standardized_primary_address,208,208,882|FL-93-882,532 PARK TREE TER|532 PARK TREE TERRACE,accept,same_property_recapitalization,"Internal HUD read: FLA19950811 (PIS 1995, state ID 882, units 208); FLA20213017 (PIS 2021, state ID FL-93-882, units 208). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22VALENCIA%20PARK%22%20%22ORLANDO%22%20%22532%20PARK%20TREE%20TER%22%20affordable%20housing,"Valencia Park Apartments - 532 Park Tree Ter Orlando, FL 32825 ...",property_listing_or_public_records,https://www.apartments.com/valencia-park-apartments-orlando-fl/lwe6dne/?msockid=06356663fae369d7107b71f1fbb8685c,"Valencia Park Apartments 532 Park Tree Ter in Orlando, FL 32825 ...",housing_directory_or_other_web_source,https://www.affordablehousing.com/orlando-fl/valencia-park%C2%A0apartments-823894/,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
48,DEV_GAA20040095,repeated_total_long_gap,ATHENS GARDENS APARTMENTS,ATHENS,GA,2,2004,2021,normalized_name_standardized_primary_address,100,100|64,2002-547|2019-519,135 COLERIDGE COURT|135 COLERIDGE CT,accept,same_property_recapitalization,"Internal HUD read: GAA20040095 (PIS 2004, state ID 2002-547, units 100); GAA20210006 (PIS 2021, state ID 2019-519, units 100). Link evidence: normalized_name_standardized_primary_address. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22ATHENS%20GARDENS%20APARTMENTS%22%20%22ATHENS%22%20%22135%20COLERIDGE%20COURT%22%20affordable%20housing,"Athens Gardens - 135 Coleridge Ct Athens, GA 30605 | Apartments.com",property_listing_or_public_records,https://www.apartments.com/athens-gardens-athens-ga/wwwcm3h/?msockid=06356663fae369d7107b71f1fbb8685c,"Athens Gardens Apartments - Affordable Housing in Athens, GA",housing_directory_or_other_web_source,https://section8search.org/georgia/athens/athens-gardens-apartments/w9js3joa01lfbx3lo48mupj3,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
49,DEV_GAA19910100,repeated_total_long_gap,EAST ORCHARD ELDERLY,HARTWELL,GA,2,1991,2022,normalized_name_identical_multisite_set,24,24,2020-523|GA-89-114,110 NANCY DRIVE|750 NANCY DR,accept,same_property_recapitalization,"Internal HUD read: GAA19910100 (PIS 1991, state ID GA-89-114, units 24); GAA20220011 (PIS 2022, state ID 2020-523, units 24). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22EAST%20ORCHARD%20ELDERLY%22%20%22HARTWELL%22%20%22110%20NANCY%20DRIVE%22%20affordable%20housing,"East Orchard Elderly - Affordable Housing in Hartwell, GA | Section 8 ...",housing_directory_or_other_web_source,https://section8search.org/georgia/hartwell/east-orchard-elderly/faroltji2k2qallf39976mu6,"EAST ORCHARD ELDERLY - HARTWELL, GA | LIHTC Affordable …",housing_directory_or_other_web_source,https://affordablehousingnearme.net/property/GAA20220011-east-orchard-elderly-110-nancy-drive-hartwell-ga,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
50,DEV_GAA19900180,repeated_total_long_gap,EAST ORCHARD FAMILY,HARTWELL,GA,2,1990,2024,normalized_name_identical_multisite_set,24,23,2021-009|GA-90-017,110 NANCY DRIVE|752 NANCY DR,accept,same_property_recapitalization,"Internal HUD read: GAA19900180 (PIS 1990, state ID GA-90-017, units 24); GAA20240015 (PIS 2024, state ID 2021-009, units 24). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22EAST%20ORCHARD%20FAMILY%22%20%22HARTWELL%22%20%22110%20NANCY%20DRIVE%22%20affordable%20housing,East Orchard Family Apartments | Hartwell GA,housing_directory_or_other_web_source,https://housingapartments.org/rental_detail/29698,"East Orchard Family - Affordable Housing in Hartwell, GA | Section 8 …",housing_directory_or_other_web_source,https://section8search.org/georgia/hartwell/east-orchard-family/sai3id9n6zk61l3f9xrwruju,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
51,DEV_GAA20059805,repeated_total_long_gap,EASTGATE APTS,NEWNAN,GA,2,2005,2021,normalized_name_identical_multisite_set,96,96,2004-506|2019-543,11 DOWDELL ST|11 FAIRMONT SCHOOL ROAD,accept,same_property_recapitalization,"Internal HUD read: GAA20059805 (PIS 2005, state ID 2004-506, units 96); GAA20213179 (PIS 2021, state ID 2019-543, units 96). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22EASTGATE%20APTS%22%20%22NEWNAN%22%20%2211%20DOWDELL%20ST%22%20affordable%20housing,"Eastgate Apts - Newnan | Affordable Housing in Newnan, GA",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/georgia/coweta/newnan/eastgate-apts-newnan-5216-lihtc,"Eastgate Apts | Affordable Housing in Newnan, GA",housing_directory_or_other_web_source,https://affordablehousinghub.org/housing/georgia/coweta/newnan/eastgate-apts-5290-lihtc,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
52,DEV_GAA19960085,repeated_total_long_gap,FAIR OAKS LANE APARTMENTS,RINCON,GA,2,1996,2024,normalized_name_identical_multisite_set,44,44,2022-053|GA-94-003,401 LISA ST|401 LISA STREET #200,accept,same_property_recapitalization,"Internal HUD read: GAA19960085 (PIS 1996, state ID GA-94-003, units 44); GAA20240076 (PIS 2024, state ID 2022-053, units 44). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22FAIR%20OAKS%20LANE%20APARTMENTS%22%20%22RINCON%22%20%22401%20LISA%20ST%22%20affordable%20housing,"Fair Oaks Lane Apartments in Rincon, Georgia - Affordable Housing …",housing_press,https://affordablehousingonline.com/housing-search/Georgia/Rincon/Fair-Oaks-Lane-Apartments/10026924,"Fair Oaks Lane - Low Income Apartments in Rincon, GA",housing_directory_or_other_web_source,https://www.publichousing.com/details/ga_fair-oaks-lane,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
53,DEV_GAA19900240,repeated_total_long_gap,ROCK SPRINGS APARTMENTS,WINDER,GA,2,1990,2019,normalized_name_identical_multisite_set,48,48,2017-559|GA-89-011,187 SOUTH BROAD ST|604 BOSS HARDY RD,accept,same_property_recapitalization,"Internal HUD read: GAA19900240 (PIS 1990, state ID GA-89-011, units 48); GAA20190013 (PIS 2019, state ID 2017-559, units 48). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22ROCK%20SPRINGS%20APARTMENTS%22%20%22WINDER%22%20%22187%20SOUTH%20BROAD%20ST%22%20affordable%20housing,"Rock Springs Apartments - 187 S Broad St Winder, GA …",property_listing_or_public_records,https://www.apartments.com/rock-springs-apartments-winder-ga/8dwclp3/?msockid=06356663fae369d7107b71f1fbb8685c,ROCK SPRINGS APARTMENTS | Low Income Housing | 187 …,housing_directory_or_other_web_source,https://www.affordablehousing411.com/housing/lihtc-details-rock-springs-apartments-187-south-broad-st-winder-ga-30680/,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
54,DEV_ILA20060135,repeated_total_long_gap,ANCHOR SENIOR LIVING,BENSENVILLE,IL,2,2006,2023,normalized_name_identical_multisite_set+normalized_name_standardized_primary_address,228,228,1204022|230805,325 S YORK RD,accept,same_property_recapitalization,"Internal HUD read: ILA20060135 (PIS 2006, state ID 230805, units 228); ILA20230004 (PIS 2023, state ID 1204022, units 228). Link evidence: normalized_name_identical_multisite_set+normalized_name_standardized_primary_address. Distinct published primary-address strings: 1.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22ANCHOR%20SENIOR%20LIVING%22%20%22BENSENVILLE%22%20%22325%20S%20YORK%20RD%22%20affordable%20housing,"Anchor Senior Living - Affordable Housing in Bensenville, IL | Section ...",housing_directory_or_other_web_source,https://section8search.org/illinois/bensenville/anchor-senior-living/cf4excw895f5hzziuvagaicj,"Anchor Senior Living | Senior Apartments Bensenville, IL",housing_directory_or_other_web_source,https://www.seniorresource.com/senior_apartments/anchor-senior-living/,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
55,DEV_ILA20070185,repeated_total_long_gap,BUENA VISTA TOWNHOMES,ELGIN,IL,2,2007,2024,normalized_name_identical_multisite_set,120,120,1207723|252406,1200 1319 AMANDA CIRCLE|1200 AMANDA CIR,accept,same_property_recapitalization,"Internal HUD read: ILA20070185 (PIS 2007, state ID 252406, units 120); ILA20240002 (PIS 2024, state ID 1207723, units 120). Link evidence: normalized_name_identical_multisite_set. Distinct published primary-address strings: 2.",2026-08-09,accept,external_property_identity_consistent,Bing,https://www.bing.com/search?q=%22BUENA%20VISTA%20TOWNHOMES%22%20%22ELGIN%22%20%221200%201319%20AMANDA%20CIRCLE%22%20affordable%20housing,"Buena Vista Apartments & Townhomes | Elgin, IL | Welcome Home",housing_directory_or_other_web_source,https://www.buenavistaaptstownhomes.com/buena-vista-elgin-il,Elgin IL Apartments | Buena Vista Apartment & Townhomes | Floorplans,housing_directory_or_other_web_source,https://www.buenavistaaptstownhomes.com/buena-vista-elgin-il/floorplans,Outside read via Bing: a property-specific source identifies the matched name and location. This outside evidence is used for linkage only; it does not adjudicate the conflicting or repeated unit totals.,2026-08-09,accept,same_property_recapitalization,Accept the provisional linkage as one physical development. Preserve the component HUD records as project episodes. Unit aggregation is a separate unresolved decision.,2026-08-09
