development_id,hud_id,state_id,development_state,development_name,development_city,proj_add,proj_cty,proj_st,proj_zip,first_pis_year,last_pis_year,n_project_episodes,frozen_total_units,frozen_low_income_units,classification,replacement_total_units,replacement_low_income_units,replacement_count_type,source_1_url,source_1_title,source_1_type,source_1_statement,source_2_url,source_2_title,source_2_type,source_2_statement,reviewer_1,reviewer_2,reviewer_1_reviewed_on,reviewer_2_reviewed_on,source_scope,final_action
DEV_ILB20165016,ILB20165016,IL-15-021,IL,JEFFERY TOWERS,CHICAGO,7020 JEFFERY BLVD,CHICAGO,IL,60649,2016,2016,1,135,15,official_replacement_exact,135,135,all residential units affordable,https://www.chicagorehab.org/content/cms/documents/2015_Q2_AHP5_report.pdf,City of Chicago 2015 housing-plan progress report,municipal report,Rehabilitation of the 135-unit Jeffery Towers; all units will be affordable below 60% AMI.,https://www.ihdc.org/portfolio-1-1/project-one-f5w4d-sehh7-gy9ja-3a4k9-bra5e-agm5h-h495f-xa8wt-zhrh2-p4dgj-kgnwb-es5k4-8tftj-a76w2-az4fn-emrwj,Interfaith Housing Development Corporation portfolio,owner portfolio,135 units for low-income individuals; the project was placed in service in 2016.,browser_read_1,browser_read_2,2026-08-12,2026-08-12,same physical development; total units agree,replace_low_income_units
DEV_LAA19920010,LAA19920010,LA-90-022,LA,BAYOU PLACE APTS.,NATCHITOCHES,1600 MEADOWS,NATCHITOCHES,LA,71457-0000,1992,1992,1,32,4,conflicting_no_exact_replacement,,,,https://section8search.org/louisiana/natchitoches/bayou-place-apts/cexa3u4uvhk15u6spcwafclz,Bayou Place Apts listing,secondary directory,Reports 32 total units and 4 low-income units matching the frozen HUD values.,https://hellosection8.com/ct-lihtc-la_natchitoches-1.html,Low income apartments for rent in Natchitoches,secondary directory,Reports Bayou Place Apartments has 32 low-income units; no underlying primary source is supplied.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA19930025,LAA19930025,LA-91-017,LA,CHATEAU DEVILLE,ALEXANDRIA,4015 LAKESIDE DRIVE,ALEXANDRIA,LA,71302-0000,1993,1993,1,160,16,unresolved_after_two_searches,,,,https://www.google.com/search?q=CHATEAU%20DEVILLE%204015%20LAKESIDE%20DRIVE%20ALEXANDRIA%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=CHATEAU%20DEVILLE%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA19950025,LAA19950025,LA-93-004,LA,EVANGELINE APTS,LAFAYETTE,302 JEFFERSON ST,LAFAYETTE,LA,70501,1995,1995,1,100,10,unresolved_after_two_searches,,,,https://www.google.com/search?q=EVANGELINE%20APTS%20302%20JEFFERSON%20ST%20LAFAYETTE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=EVANGELINE%20APTS%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA19960022,LAA19960022,LA-95-037,LA,BLANCHARD ELDERLY III,BLANCHARD,231 N. MAIN STREET,BLANCHARD,LA,71009-0000,1996,1996,1,40,2,unresolved_after_two_searches,,,,https://www.google.com/search?q=BLANCHARD%20ELDERLY%20III%20231%20N.%20MAIN%20STREET%20BLANCHARD%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BLANCHARD%20ELDERLY%20III%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA19960040,LAA19960040,LA-95-048,LA,CAMERON PLACE APTS,CAMERON,1593 MARSHALL ST,CAMERON,LA,70631,1996,1996,1,40,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=CAMERON%20PLACE%20APTS%201593%20MARSHALL%20ST%20CAMERON%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=CAMERON%20PLACE%20APTS%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA19990010,LAA19990010,LA-99-023,LA,BROOKHAVEN II APTS,SHREVEPORT,2705 STANBERRY DR.,SHREVEPORT,LA,71118-0000,1999,1999,1,40,4,unresolved_after_two_searches,,,,https://www.google.com/search?q=BROOKHAVEN%20II%20APTS%202705%20STANBERRY%20DR.%20SHREVEPORT%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BROOKHAVEN%20II%20APTS%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20000005,LAA20000005,LA-99-047,LA,AZALEA PARK,STERLINGTON,606 HARVEY STREET,STERLINGTON,LA,71280-0000,2000,2000,1,40,7,unresolved_after_two_searches,,,,https://www.google.com/search?q=AZALEA%20PARK%20606%20HARVEY%20STREET%20STERLINGTON%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=AZALEA%20PARK%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20000007,LAA20000007,LA-99-052,LA,CHATEAU APTS.,BOSSIER CITY,4806 SHED ROAD,BOSSIER CITY,LA,71067-0000,2000,2000,1,56,8,unresolved_after_two_searches,,,,https://www.google.com/search?q=CHATEAU%20APTS.%204806%20SHED%20ROAD%20BOSSIER%20CITY%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=CHATEAU%20APTS.%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20039011,LAA20039011,LA-03-039,LA,RESTORATION BATON ROUGE V,LAFAYETTE,406 JESSICA STREET,LAFAYETTE,LA,70506-0000,2003,2003,1,23,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=RESTORATION%20BATON%20ROUGE%20V%20406%20JESSICA%20STREET%20LAFAYETTE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=RESTORATION%20BATON%20ROUGE%20V%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20040005,LAA20040005,LA-03-039,LA,BAYBERRY POINT I,LAFAYETTE,HAMMOND STREET,LAFAYETTE,LA,70501,2004,2004,1,23,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=BAYBERRY%20POINT%20I%20HAMMOND%20STREET%20LAFAYETTE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BAYBERRY%20POINT%20I%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20040015,LAA20040015,LA-03-003,LA,KENSINGTON SQUARE APTS,SHREVEPORT,2140 NORTH HEARNE AVENUE,SHREVEPORT,LA,71107-0000,2004,2004,1,40,4,unresolved_after_two_searches,,,,https://www.google.com/search?q=KENSINGTON%20SQUARE%20APTS%202140%20NORTH%20HEARNE%20AVENUE%20SHREVEPORT%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=KENSINGTON%20SQUARE%20APTS%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20040035,LAA20040035,LA-03-040,LA,BAYBERRY POINT II,LAFAYETTE,406 JESSICA STREET,LAFAYETTE,LA,70501-0000,2004,2004,1,23,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=BAYBERRY%20POINT%20II%20406%20JESSICA%20STREET%20LAFAYETTE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BAYBERRY%20POINT%20II%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20040045,LAA20040045,LA-03-021,LA,CANARY HOMES,MARRERO,3140 HAVENWOOD DRIVE,MARRERO,LA,70072-0000,2004,2004,1,22,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=CANARY%20HOMES%203140%20HAVENWOOD%20DRIVE%20MARRERO%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=CANARY%20HOMES%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20040050,LAA20040050,LA-03-033,LA,CHAUVIN POINTE II,MONROE,4385 CHAUVIN POINTE DR.,MONROE,LA,71201-0000,2004,2004,1,65,5,unresolved_after_two_searches,,,,https://www.google.com/search?q=CHAUVIN%20POINTE%20II%204385%20CHAUVIN%20POINTE%20DR.%20MONROE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=CHAUVIN%20POINTE%20II%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20050006,LAA20050006,LA-04-042,LA,ACADIAN APTS,JENNINGS,916 FLORENCE STREET,JENNINGS,LA,70546-0000,2005,2005,1,42,8,unresolved_after_two_searches,,,,https://www.google.com/search?q=ACADIAN%20APTS%20916%20FLORENCE%20STREET%20JENNINGS%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=ACADIAN%20APTS%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20050015,LAA20050015,LA-06-419,LA,BARTLETT PLACE,SHREVEPORT,904 BARTLETT DRIVE,SHREVEPORT,LA,71106-0000,2005,2005,1,44,2,unresolved_after_two_searches,,,,https://www.google.com/search?q=BARTLETT%20PLACE%20904%20BARTLETT%20DRIVE%20SHREVEPORT%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BARTLETT%20PLACE%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20050024,LAA20050024,LA-03-004,LA,CAMBRIDGE COURT APTS,SHREVEPORT,3800 KITTY LANE #1-4,SHREVEPORT,LA,71107-0000,2005,2005,1,50,4,unresolved_after_two_searches,,,,https://www.google.com/search?q=CAMBRIDGE%20COURT%20APTS%203800%20KITTY%20LANE%20%231-4%20SHREVEPORT%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=CAMBRIDGE%20COURT%20APTS%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20060004,LAA20060004,LA-06-455,LA,BANYAN TRACE HOMES II,BATON ROUGE,5560 BANYAN TRACE DRIVE,BATON ROUGE,LA,70805-0000,2006,2006,1,20,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=BANYAN%20TRACE%20HOMES%20II%205560%20BANYAN%20TRACE%20DRIVE%20BATON%20ROUGE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BANYAN%20TRACE%20HOMES%20II%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20060042,LAA20060042,LA-04-072,LA,PALMETTO APARTMENT HOMES,NEW ORLEANS,3980 CAMBRONNE ST.,NEW ORLEANS,LA,70118-0000,2006,2006,1,124,8,unresolved_after_two_searches,,,,https://www.google.com/search?q=PALMETTO%20APARTMENT%20HOMES%203980%20CAMBRONNE%20ST.%20NEW%20ORLEANS%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=PALMETTO%20APARTMENT%20HOMES%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20060050,LAA20060050,LA-05-083,LA,PEPPERMILL APARTMENTS II,SULPHUR,2700 BEGLIS PARKWAY,SULPHUR,LA,70663-0000,2006,2006,1,56,8,unresolved_after_two_searches,,,,https://www.google.com/search?q=PEPPERMILL%20APARTMENTS%20II%202700%20BEGLIS%20PARKWAY%20SULPHUR%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=PEPPERMILL%20APARTMENTS%20II%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20089004,LAA20089004,LA-04-049,LA,BEAU MAISONS ESTATES,LAFAYETTE,820 MARTIN LUTHER KING DR.,LAFAYETTE,LA,70501-0000,2008,2008,1,25,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=BEAU%20MAISONS%20ESTATES%20820%20MARTIN%20LUTHER%20KING%20DR.%20LAFAYETTE%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=BEAU%20MAISONS%20ESTATES%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20090055,LAA20090055,LA-07-025,LA,CJ PEETE III,NEW ORLEANS,3320 CLARA STREET,NEW ORLEANS,LA,70115-0000,2009,2009,1,460,23,conflicting_scope_no_exact_replacement,,,,https://www.doa.la.gov/media/lg1plouo/kr2_drgr_3rdq2010.pdf,Louisiana CDBG-DR quarterly report,state report,CJ Peete III is a 460-unit mixed-income development with a low/moderate-income national objective; this does not identify LIHTC-restricted units.,https://www.google.com/search?q=CJ%20Peete%20III%20New%20Orleans%20LIHTC%20units,Exact project LIHTC-unit search,search trail,Reproducible exact-name LIHTC-unit search trail. It did not resolve whether the reported count applies to this redevelopment phase or the larger site.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_LAA20144006,LAA20144006,LA-13-005,LA,IBERVILLE OFFSITE REHAB 1,NEW ORLEANS,2215-17 ST. PHILIP ST,NEW ORLEANS,LA,,2014,2014,1,23,1,unresolved_after_two_searches,,,,https://www.google.com/search?q=IBERVILLE%20OFFSITE%20REHAB%201%202215-17%20ST.%20PHILIP%20ST%20NEW%20ORLEANS%20LA,Exact property-name and address search,search trail,Reproducible exact property-name and address search trail. No project-scoped low-income-unit count was found that can replace or affirm the frozen value.,https://www.google.com/search?q=IBERVILLE%20OFFSITE%20REHAB%201%20LA%20LIHTC%20units,Exact property-name LIHTC-unit search,search trail,Separate reproducible exact-name LIHTC-unit search trail. No second project-scoped count with a defensible scope match was found.,Wegener,Goodall,2026-08-12,2026-08-12,identity searched; no source establishes a compatible count scope,unresolved_exclude_low_income_share
DEV_MAB19880105,MAB19880105,10201,MA,MUSEUM SQUARE,LAWRENCE,2 JACKSON ST,LAWRENCE,MA,01840,1988,1988,1,176,35,conflicting_scope_no_exact_replacement,,,,https://studylib.net/doc/11206708/,Museum Square redevelopment study,research report,"The study describes 176 total units, of which 46 were designated low-income, rather than the HUD frozen count of 35.",https://www.google.com/search?q=Museum+Square+Lawrence+176+affordable+units+official,Exact project official-source search,search trail,"A separate official-source search was reviewed. It did not yield an authority that establishes whether 35, 46, or an all-affordable count applies to the same LIHTC reporting scope.",Wegener,Goodall,2026-08-12,2026-08-12,"same name and total in first source, but unresolved affordability-count scope",unresolved_exclude_low_income_share
