mixed_site_question_id,candidate_signal_class,development_ids,development_names,development_anchor_hud_ids,first_pis_year_examples,episode_unit_max_examples,shared_site_key_examples,review_origin,first_read_reviewed_on,outside_read_reviewed_on,final_reviewed_on,n_members,first_read_n_clusters,n_clusters,n_physical_development_clusters,n_nonphysical_umbrella_clusters,first_read_identity_decision,final_identity_decision,first_read_reason_code,final_reason_code,outside_discovery_method,outside_discovery_url,outside_source_member_count,outside_source_title,outside_source_type,outside_source_url,outside_address_agreement,outside_identity_assessment,episode_to_property_bridge_status,shared_geocoding_query_decision,source_rows_changed
MSIR_0011,moderate_identity_evidence,DEV_GAA19950295 | DEV_GAA20010140 | DEV_GAA20019007,AUGUSTA SPRING APARTMENTS | AUGUSTA SPRINGS | AUGUSTA SPRINGS SENIOR II,GAA19950295 | GAA20010140 | GAA20019007,1995 | 2001,100,GA|1730 SIBLEY RD|AUGUSTA,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,3,1,1,1,0,merge_all,merge_all,one_property_constructed_in_two_financing_phases,one_property_constructed_in_two_financing_phases,focused_web_search,https://dca.georgia.gov/document/forms/2021-060-garden-cty-sr-vlg-ms/download,3,Georgia DCA market study,state_housing_agency_market_study,https://dca.georgia.gov/document/forms/2021-060-garden-cty-sr-vlg-ms/download,profiles_one_200_unit_property_constructed_in_two_phases,supports_final_partition,not_required,not_approved,FALSE
MSIR_0012,moderate_identity_evidence,DEV_GAA20030175 | DEV_GAA20039009 | DEV_GAA20039011,BLOUNT CROSSING APARTMENTS | BLOUNT CROSSING APARTMENTS / 2001-001 | BLOUNT CROSSING APARTMENTS PREDEVELOPMENT,GAA20030175 | GAA20039009 | GAA20039011,2003,40,GA|232 BLOUNT CROSSING RD|DARIEN,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,3,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,3,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/georgia/darien/blount-crossing-apartments-2001001/xta3aaajig9ezvb9brukyeah | https://section8search.org/georgia/darien/blount-crossing-apartments-predevelopment/s5mcuxapkc7fm10mt6entaew | https://section8search.org/georgia/darien/blount-crossing-apartments/b77jxxqa92wuq61wmtf4hch0,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0013,moderate_identity_evidence,DEV_GAA20120100 | DEV_GAA20125004,CANEY HEIGHTS (AKA KINGSLAND III) | KINGSLAND III,GAA20120100 | GAA20125004,2012,28,GA|100 CANEY PL|KINGSLAND,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/georgia/kingsland/caney-heights-aka-kingsland-iii/qiqypsyi7wtyjzq842phu9fk | https://section8search.org/georgia/kingsland/kingsland-phase-ii/fh4ve7wpd8hgpg68r5v2ytyp,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0014,moderate_identity_evidence,DEV_GAA20010040 | DEV_GAA20019033,COLUMBIA CREEK | RIVERSTOCK FKA COLUMBIA CREEK,GAA20010040 | GAA20019033,2001,172,GA|100 SANDY CIR|WOODSTOCK,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/georgia/woodstock/columbia-creek/p1dfmu3z4wsmos5t2xhyttah | https://section8search.org/georgia/woodstock/riverstock-fka-columbia-creek/dp32g196wyxgzjxzuosthelz,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0015,moderate_identity_evidence,DEV_GAA20120055 | DEV_GAA20125012,FARMINGTON HILLS | FARMINGTON HILLS PHASE I,GAA20120055 | GAA20125012,2012,72,GA|1506 FARMINGTON WAY|WINDER,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/georgia/winder/farmington-hills-phase-i/h9e4qlgsen62j5r80pfvcwlu | https://section8search.org/georgia/winder/farmington-hills/t4rcojkosh5vbtjihbjbwkvg,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0016,moderate_identity_evidence,DEV_GAA20100035 | DEV_GAA20107022,OCONEE PARK | RIVERVIEW HEIGHTS FKA OCONEE PARK,GAA20100035 | GAA20107022,2010,117,GA|200 RIVERVIEW DR|DUBLIN,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,1,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/georgia/dublin/riverview-heights-fka-oconee-park/rjchg9mjdkz9uxee378cvjb0,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0017,moderate_identity_evidence,DEV_GAA19920120 | DEV_GAA19950230,PINE TERRACE I | PINE TERRACE II,GAA19920120 | GAA19950230,1992 | 1995,24 | 48,GA|823 S MARCUS ST|WRIGHTSVILLE,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,2,2,2,0,retain_each,retain_each,distinct_named_phases_no_same_property_proof,distinct_named_phases_no_same_property_proof,focused_web_search,https://dca.georgia.gov/document/tools/tax-credit-property-list/download,2,Georgia DCA tax credit property list,state_housing_agency_property_list,https://dca.georgia.gov/document/tools/tax-credit-property-list/download,retains_two_pine_terrace_property_entries,supports_final_partition,not_required,not_approved,FALSE
MSIR_0018,moderate_identity_evidence,DEV_ILB20049002 | DEV_ILB20060809,HILLIARD HOMES | HILLIARD HOMES I,ILB20049002 | ILB20060809,2004 | 2006,654,IL|2031 S CLARK ST|CHICAGO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/illinois/chicago/hilliard-homes-i/t6w0e5gblugulp2bn2qjr7d5 | https://section8search.org/illinois/chicago/hilliard-homes/pl1v4ht1xgzqy8574r24o4x4,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0019,strong_identity_evidence,DEV_ILA20010100 | DEV_ILB20010803,NORTH TOWN VILLAGE | NORTH TOWN VILLAGE I,ILA20010100 | ILB20010803,2001,116,IL|1321 N BURLING ST|CHICAGO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/illinois/chicago/north-town-village-i/mvy59fhodh223vzog339xw08 | https://section8search.org/illinois/chicago/north-town-village/p2jxmd08bk73fruou5zagwdp,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0020,moderate_identity_evidence,DEV_KYA19999002 | DEV_KYA19999581,ALBANY COMMONS II APARTMENTS -  PROJECT | ALBANY COMMONS II APTS - PROJECT,KYA19999002 | KYA19999581,1999,12,KY|NOLAN ST|ALBANY,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/kentucky/albany/albany-commons-ii-apartments-project/vrmg79ug87e87sqspd3re59o,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0021,moderate_identity_evidence,DEV_KYA19970010 | DEV_KYA19979576,"AUSTIN PARK APARTMENTS, LTD. | AUSTIN PARK APTS, LTD",KYA19970010 | KYA19979576,1997,38,KY|BYPASS PLZ DR|FRANKFORT,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/kentucky/frankfort/austin-park-apartments-ltd/lp22uopcxhjgg9zuxn24cen6,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0022,moderate_identity_evidence,DEV_KYA19940555 | DEV_KYA19960060,BRIDLEWOOD TERRACE APARTMENTS | HORSE CAVE FAMILY APARTMENTS,KYA19940555 | KYA19960060,1994 | 1996,24,KY|HARPER DR|HORSE CAVE,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,2,2,2,0,retain_each,retain_each,shared_address_distinct_named_properties,shared_address_distinct_named_properties,focused_web_search,https://www.novoco.com/public-media/documents/kentucky-lihtc-properties-to-2021-082023.pdf,2,Kentucky LIHTC property list,public_lihtc_property_list,https://www.novoco.com/public-media/documents/kentucky-lihtc-properties-to-2021-082023.pdf,lists_bridlewood_and_horse_cave_as_distinct_properties,supports_final_partition,not_required,not_approved,FALSE
MSIR_0023,moderate_identity_evidence,DEV_KYA20110662 | DEV_KYA20110672 | DEV_KYA20114010,FULTON MANOR APTS PHASE I | FULTON MANOR I APARTMENTS | FULTON MANOR II APARTMENTS,KYA20110662 | KYA20110672 | KYA20114010,2011,14 | 24,KY|MIDDLE RD|FULTON,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,3,3,3,3,0,retain_each,retain_each,distinct_named_phases_and_unit_scopes,distinct_named_phases_and_unit_scopes,focused_web_search,https://wapps.kyhousing.org/KHC_Webforms/HousingCredits.aspx,3,Kentucky Housing Corporation housing credit search,state_housing_agency_property_search,https://wapps.kyhousing.org/KHC_Webforms/HousingCredits.aspx,lists_three_distinct_fulton_manor_credit_records,supports_final_partition,not_required,not_approved,FALSE
MSIR_0024,moderate_identity_evidence,DEV_KYA19960150 | DEV_KYA19960155 | DEV_KYA19969574,VAUGHN VILLAGE I APARTMENTS | VAUGHN VILLAGE II APARTMENTS | VAUGHN VILLAGE II APTS,KYA19960150 | KYA19960155 | KYA19969574,1996,24,KY|CRIMSON CREEK CT|ELIZABETHTOWN,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,3,2,2,2,0,partition,partition,duplicate_records_within_distinct_named_phases,duplicate_records_within_distinct_named_phases,public_directory_sitemap,https://section8search.org/sitemap.xml,3,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/kentucky/elizabethtown/vaughn-village-i-apartments/j2546c5mh8hai8asb65p534d | https://section8search.org/kentucky/elizabethtown/vaughn-village-ii-apartments/yzxm6hfaeb78e62uvfzgqwrk,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0025,moderate_identity_evidence,DEV_MDA20030087 | DEV_MDA20039101,THE VILLAS AT WHITEHALL | VILLAS AT WHITEHALL,MDA20030087 | MDA20039101,2003,70,MD|100 111 SKIPJACK CT|ELKTON,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,focused_web_search,https://msa.maryland.gov/megafile/msa/speccol/sc5300/sc5339/000113/024700/024714/20200498e.pdf,2,Maryland public financing record for Villas at Whitehall,state_public_financing_record,https://msa.maryland.gov/megafile/msa/speccol/sc5300/sc5339/000113/024700/024714/20200498e.pdf,confirms_one_villas_at_whitehall_property,supports_final_partition,not_required,not_approved,FALSE
MSIR_0026,moderate_identity_evidence,DEV_MSA20130013 | DEV_MSA20150024,OAKWOOD APTS & MAPLEWOOD APTS | OAKWOOD APTS AND MAPLEWOOD APTS.,MSA20130013 | MSA20150024,2013 | 2015,48,MS|1062 WHITFIELD RD|BEAUMONT,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/mississippi/beaumont/oakwood-apts-and-maplewood-apts/pyyvxmowlf364py0tgbejsab | https://section8search.org/mississippi/beaumont/oakwood-apts-maplewood-apts/qnzk14prfzomkg3qyi3e1mww,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0027,moderate_identity_evidence,DEV_MTA20090027 | DEV_MTA20098005,MOUNTAIN VIEW III | MOUNTAIN VIEW III - HAMILTON,MTA20090027 | MTA20098005,2009,46,MT|251 STONEGATE DR|HAMILTON,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/montana/hamilton/mountain-view-iii/zn1qr9d3m9w45zvpocziro4n | https://section8search.org/montana/hamilton/mountain-view-iiihamilton/rwfpat6glvhtqs3ckqh0sbkf,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0028,moderate_identity_evidence,DEV_NCA19940360 | DEV_NCA19949091,HORSE CREEK APTS | PWN HORSE CREEK APTS,NCA19940360 | NCA19949091,1994,4,NC|649 N MAIN ST|WARRENTON,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/north-carolina/warrenton/horse-creek-apts/yehz77gkofxtlktbawb409ic | https://section8search.org/north-carolina/warrenton/pwn-horse-creek-apts/nr0g6ddcbqhheh5tqiekda20,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0029,strong_identity_evidence,DEV_NCA19910320 | DEV_NCA19910325,MENLO PARK,NCA19910320 | NCA19910325,1991,2,NC|1707 TENTH ST|GREENSBORO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_scattered_site_development,duplicate_source_records_same_scattered_site_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/north-carolina/greensboro/menlo-park-apts/r8p4k0q50yckquu68zyd71bh | https://section8search.org/north-carolina/greensboro/menlo-park/hi0zk7xwl0v2bo21vqyxk93u,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0030,moderate_identity_evidence,DEV_NCA19930370 | DEV_NCA19939053,PWE STEVENS APTS | STEVENS APTS,NCA19930370 | NCA19939053,1993,12,NC|1613 MCPHERSON ST|GREENSBORO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/north-carolina/greensboro/pwe-stevens-apts/xvstaoaz01zk6i8ojlnkw7tl | https://section8search.org/north-carolina/greensboro/stevens-apts-ii/mbzdcjm15dgzg31lqx7k1h6f,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0031,moderate_identity_evidence,DEV_NDA19950030 | DEV_NDA19959015,COMMONS AT 45TH I | RATTENBORG COURT,NDA19950030 | NDA19959015,1995,32,ND|435 22ND ST E|WEST FARGO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,focused_web_search,https://www.ndhfa.org/wp-content/uploads/2024/06/MasterProjectList2024.pdf,2,North Dakota Housing Finance Agency master project list,state_housing_agency_property_list,https://www.ndhfa.org/wp-content/uploads/2024/06/MasterProjectList2024.pdf,identifies_rattenborg_court_and_commons_owner_record,supports_final_partition,not_required,not_approved,FALSE
MSIR_0032,moderate_identity_evidence,DEV_NDA19930020 | DEV_NDA19939002,MAYBROOK APARTMENTS | MAYBROOK APTSNT,NDA19930020 | NDA19939002,1993,30,ND|3219 18TH ST S|FARGO,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_physical_development,duplicate_source_records_same_physical_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/north-dakota/fargo/maybrook-apartments/spwfapu91pznss1608ed5sxk | https://section8search.org/north-dakota/fargo/maybrook-aptsnt/f2o41hvzn5n1ayftyz2vnv76,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
MSIR_0033,moderate_identity_evidence,DEV_NDA20050015 | DEV_NDA20059004,STANDING ROCK MODERNIZATION PROJECT #9 | STANDING ROCK REHAB #9,NDA20050015 | NDA20059004,2005,20,ND|5562 GRASS ST|FORT YATES,new_two_read_review,2026-08-11,2026-08-11,2026-08-11,2,1,1,1,0,merge_all,merge_all,duplicate_source_records_same_scattered_site_development,duplicate_source_records_same_scattered_site_development,public_directory_sitemap,https://section8search.org/sitemap.xml,2,Section8Search direct pages for listed members,public_housing_directory,https://section8search.org/north-dakota/fort-yates/standing-rock-modernization-project-9/x35w27hno8ihdgfkvi8o3zaf | https://section8search.org/north-dakota/fort-yates/standing-rock-rehab-9/oebkk54tovqkafoe6l2xnous,corroborates_published_names_units_and_addresses,corroborates_internal_identity_read,not_required,not_approved,FALSE
