identity_question_id,review_origin,pass1_identity_decision,pass1_reason_code,pass1_notes,pass1_reviewed_on,pass2_identity_decision,pass2_reason_code,pass2_search_engine,pass2_search_url,pass2_source_title,pass2_source_type,pass2_source_url,pass2_notes,pass2_reviewed_on,final_identity_decision,final_reason_code,address_overlap_class,final_notes,final_reviewed_on,shared_geocoding_query_decision,source_rows_changed,n_members,n_clusters,n_cross_question_clusters,final_partition_class,development_state,development_names,shared_address_examples,internal_evidence_pattern
XDA2_0011,new_two_pass_review,retain_each,internal_evidence_supports_distinct_phases_or_components,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is retain_each; no single field, including the shared address, was treated as dispositive.",2026-08-10,retain_each,distinct_phases_or_components_common_address,Google,https://www.google.com/search?q=SPRUCE%20CAPE%20I%20%7C%20SPRUCE%20CAPE%20II%20AK%20affordable%20housing,LIHTC Properties in Alaska Through 2021,sector_compilation,https://www.novoco.com/public-media/documents/alaska-lihtc-properties-to-2021-082023.pdf,"Outside read: the retained public records identify separately named phases, components, projects, or buildings. A common address or campus is not sufficient to collapse them.",2026-08-10,retain_each,distinct_phases_or_components_common_address,distinct_phase_or_component_common_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,0,retain_each,AK,SPRUCE CAPE I | SPRUCE CAPE II,529 CARROLL WAY|KODIAK|AK,name_similarity_only
XDA2_0012,new_two_pass_review,cross_question_partition,internal_evidence_supports_member_level_partition,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is cross_question_partition; no single field, including the shared address, was treated as dispositive.",2026-08-10,cross_question_partition,duplicate_records_linked_across_review_questions,Google,https://www.google.com/search?q=TERRACE%20I%20%40%20LAWSON%20CREEK%20%7C%20TERRACE%20II%20%40%20LAWSON%20CREEK%20AK%20affordable%20housing,"Terraces At Lawson Creek | Affordable Housing in Juneau, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-30411-lihtc,Outside read: the retained public records support duplicate reporting within some named phases or components while preserving the other named phases or components as distinct physical developments.,2026-08-10,cross_question_partition,duplicate_records_linked_across_review_questions,mixed_duplicate_and_distinct_component_overlap,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,2,cross_question_partition,AK,TERRACE I @ LAWSON CREEK | TERRACE II @ LAWSON CREEK,2574 VISTA DR|JUNEAU|AK,name_similarity_only
XDA2_0013,new_two_pass_review,cross_question_partition,internal_evidence_supports_member_level_partition,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is cross_question_partition; no single field, including the shared address, was treated as dispositive.",2026-08-10,cross_question_partition,duplicate_records_linked_across_review_questions,Google,https://www.google.com/search?q=TERRACES%20AT%20LAWSON%20CREEK%20%7C%20TERRACES%20AT%20LAWSON%20CREEK%20II%20AK%20affordable%20housing,"Terraces At Lawson Creek | Affordable Housing in Juneau, AK | Terraces At Lawson Creek Ii | Affordable Housing in Juneau, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-30411-lihtc | https://affordablehousinghub.org/housing/alaska/juneau-county/juneau/terraces-at-lawson-creek-ii-30413-lihtc,Outside read: the retained public records support duplicate reporting within some named phases or components while preserving the other named phases or components as distinct physical developments.,2026-08-10,cross_question_partition,duplicate_records_linked_across_review_questions,mixed_duplicate_and_distinct_component_overlap,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,2,cross_question_partition,AK,TERRACES AT LAWSON CREEK | TERRACES AT LAWSON CREEK II,2574 VISTA DR|JUNEAU|AK,name_similarity_only
XDA2_0014,new_two_pass_review,retain_each,internal_evidence_supports_distinct_phases_or_components,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is retain_each; no single field, including the shared address, was treated as dispositive.",2026-08-10,retain_each,distinct_phases_or_components_common_address,Google,https://www.google.com/search?q=WEEKS%20FIELD%20ESTATES%20PHASE%20I%20%7C%20WEEKS%20FIELD%20ESTATES%20PHASE%20II%20AK%20affordable%20housing,"Weeks Field Estates Phase I | Affordable Housing in Fairbanks, AK | Weeks Field Estates Phase Ii | Affordable Housing in Fairbanks, AK",public_property_directory,https://affordablehousinghub.org/housing/alaska/fairbanks-north-star-county/fairbanks/weeks-field-estates-phase-i-30494-lihtc | https://affordablehousinghub.org/housing/alaska/fairbanks-north-star-county/fairbanks/weeks-field-estates-phase-ii-25274-lihtc,"Outside read: the retained public records identify separately named phases, components, projects, or buildings. A common address or campus is not sufficient to collapse them.",2026-08-10,retain_each,distinct_phases_or_components_common_address,distinct_phase_or_component_common_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,0,retain_each,AK,WEEKS FIELD ESTATES PHASE I | WEEKS FIELD ESTATES PHASE II,1301 KELLUM ST|FAIRBANKS|AK,phase_or_component_only
XDA2_0015,new_two_pass_review,retain_each,internal_evidence_supports_distinct_phases_or_components,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is retain_each; no single field, including the shared address, was treated as dispositive.",2026-08-10,retain_each,distinct_phases_or_components_common_address,Google,https://www.google.com/search?q=BENTONVILLE%20II%20%7C%20BENTONVILLE%20III%20AR%20affordable%20housing,"Bentonville Ii | Affordable Housing in Bentonville, AR | Bentonville Iii | Affordable Housing in Bentonville, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/benton-county/bentonville/bentonville-ii-25951-lihtc | https://affordablehousinghub.org/housing/arkansas/benton-county/bentonville/bentonville-iii-26018-lihtc,"Outside read: the retained public records identify separately named phases, components, projects, or buildings. A common address or campus is not sufficient to collapse them.",2026-08-10,retain_each,distinct_phases_or_components_common_address,distinct_phase_or_component_common_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,0,retain_each,AR,BENTONVILLE II | BENTONVILLE III,1108 SE D ST|BENTONVILLE|AR,name_similarity_only
XDA2_0016,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=BLUFFS%20ON%20MCCAIN%20II%20FKA%20NORTH%20PARK%20APARTMENTS%20%7C%20BLUFFS%20ON%20MCCAIN%20II%20FKA%20NORTHPARK%20APARTMENTS%20AR%20affordable%20housing,"Bluffs on Mccain Ii Fka North Park Apartments | Affordable Housing in North Little Rock, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/pulaski-county/north-little-rock/bluffs-on-mccain-ii-fka-north-park-apartments-30222-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AR,BLUFFS ON MCCAIN II FKA NORTH PARK APARTMENTS | BLUFFS ON MCCAIN II FKA NORTHPARK APARTMENTS,429 MCCAIN BLVD|NORTH LITTLE ROCK|AR | 431 MCCAIN BLVD|NORTH LITTLE ROCK|AR | 433 MCCAIN BLVD|NORTH LITTLE ROCK|AR | 435 MCCAIN BLVD|NORTH LITTLE ROCK|AR,name_or_timing_with_equal_units_near_pis
XDA2_0017,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=BROADWAY%20TERRACE%20%7C%20BROADWAY%20TERRACE%20%28WEST%20MEMPHIS%29%20AR%20affordable%20housing,"Broadway Terrace | Affordable Housing in West Memphis, AR | Broadway Terrace West Memphis | Affordable Housing in West Memphis, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/crittenden-county/west-memphis/broadway-terrace-30124-lihtc | https://affordablehousinghub.org/housing/arkansas/crittenden-county/west-memphis/broadway-terrace-west-memphis-25220-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AR,BROADWAY TERRACE | BROADWAY TERRACE (WEST MEMPHIS),1401 VILLAGE DR|WEST MEMPHIS|AR,name_or_timing_with_equal_units_near_pis
XDA2_0018,new_two_pass_review,retain_each,internal_evidence_supports_distinct_phases_or_components,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is retain_each; no single field, including the shared address, was treated as dispositive.",2026-08-10,retain_each,distinct_phases_or_components_common_address,Google,https://www.google.com/search?q=CHAPEL%20RIDGE%20OF%20TEXARKANA%20%7C%20CHAPEL%20RIDGE%20OF%20TEXARKANA%20II%20AR%20affordable%20housing,"Chapel Ridge of Texarkana | Affordable Housing in Texarkana, AR | Chapel Ridge of Texarkana Ii | Affordable Housing in Texarkana, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/miller-county/texarkana/chapel-ridge-of-texarkana-29810-lihtc | https://affordablehousinghub.org/housing/arkansas/miller-county/texarkana/chapel-ridge-of-texarkana-ii-25717-lihtc,"Outside read: the retained public records identify separately named phases, components, projects, or buildings. A common address or campus is not sufficient to collapse them.",2026-08-10,retain_each,distinct_phases_or_components_common_address,distinct_phase_or_component_common_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,0,retain_each,AR,CHAPEL RIDGE OF TEXARKANA | CHAPEL RIDGE OF TEXARKANA II,4717 COUNTY AVE|TEXARKANA|AR,name_similarity_only
XDA2_0019,new_two_pass_review,retain_each,internal_evidence_supports_distinct_phases_or_components,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is retain_each; no single field, including the shared address, was treated as dispositive.",2026-08-10,retain_each,distinct_phases_or_components_common_address,Google,https://www.google.com/search?q=COLONY%20SQUARE%20AT%20SPRINGDALE%20PHASE%20I%20%7C%20COLONY%20SQUARE%20AT%20SPRINGDALE%20PHASE%20II%20AR%20affordable%20housing,"Colony Square At Springdale Phase I | Affordable Housing in Springdale, AR | Colony Square At Springdale Phase Ii | Affordable Housing in Springdale, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/washington-county/springdale/colony-square-at-springdale-phase-i-29711-lihtc | https://affordablehousinghub.org/housing/arkansas/washington-county/springdale/colony-square-at-springdale-phase-ii-29712-lihtc,"Outside read: the retained public records identify separately named phases, components, projects, or buildings. A common address or campus is not sufficient to collapse them.",2026-08-10,retain_each,distinct_phases_or_components_common_address,distinct_phase_or_component_common_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,2,0,retain_each,AR,COLONY SQUARE AT SPRINGDALE PHASE I | COLONY SQUARE AT SPRINGDALE PHASE II,1322 AQ CIR|SPRINGDALE|AR,phase_or_component_only
XDA2_0020,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=CYPRESS%20GROVE%20-%20LAKE%20VILLAGE%20%7C%20CYPRESS%20GROVE%20OF%20LAKE%20VILLAGE%20AR%20affordable%20housing,"Cypress Grove - Lake Village | Affordable Housing in Lake Village, AR | Cypress Grove of Lake Village | Affordable Housing in Lake Village, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/chicot-county/lake-village/cypress-grove-lake-village-29710-lihtc | https://affordablehousinghub.org/housing/arkansas/chicot-county/lake-village/cypress-grove-of-lake-village-29684-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AR,CYPRESS GROVE - LAKE VILLAGE | CYPRESS GROVE OF LAKE VILLAGE,188 CYPRESS ST|LAKE VILLAGE|AR,name_similarity_only
XDA2_0021,new_two_pass_review,merge_all,internal_evidence_supports_one_physical_development,"Internal read: normalized and published names, state IDs, primary and complete address sets, placed-in-service years, unit scopes, and source-quality flags were read together. The resulting member partition is merge_all; no single field, including the shared address, was treated as dispositive.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,Google,https://www.google.com/search?q=ELLISTON%20FKA%20ROSS%20APARTMENTS%20%7C%20ELLISTON%20PLACE%20FKA%20ROSS%20APARTMENTS%20AR%20affordable%20housing,"Elliston Fka Ross Apartments | Affordable Housing in Arkadelphia, AR | Elliston Place Fka Ross Apartments | Affordable Housing in Arkadelphia, AR",public_property_directory,https://affordablehousinghub.org/housing/arkansas/clark-county/arkadelphia/elliston-place-fka-ross-apartments-29881-lihtc | https://affordablehousinghub.org/housing/arkansas/clark-county/arkkadelphia/elliston-fka-ross-apartments-25714-lihtc,"Outside read: the retained public records identify one named property, one later financing episode, one paired-financing development, or one scattered-site development corresponding to the internal record set. All HUD rows and site rows remain preserved.",2026-08-10,merge_all,duplicate_reporting_or_later_episode_same_physical_development,same_physical_development_address,Apply only the explicit member partition. Preserve every HUD row as a project episode and every site row. Do not sum units or approve a coordinate query here.,2026-08-10,not_approved,FALSE,2,1,0,merge_all,AR,ELLISTON FKA ROSS APARTMENTS | ELLISTON PLACE FKA ROSS APARTMENTS,222 N 20TH ST|ARKADELPHIA|AR,name_or_timing_with_equal_units_near_pis
